parameter,carrier,tech,value,unit,source
efficiency,biomass,ce,0.35,per unit,Own assumption
efficiency,coal,st,0.4,per unit,TYNDP2016A
efficiency,gas,ccgt,0.5,per unit,TYNDP2016A
efficiency,hydro,rsv,0.9,per unit,DIW
efficiency,lignite,st,0.4,per unit,TYNDP2016A
efficiency,oil,ocgt,0.35,per unit,TYNDP2016A
efficiency,uranium,st,0.33,per unit,TYNDP2016A
efficiency,lithium,battery,0.85,per unit; roundtrip,Own assumption
avf,biomass,ce,0.9,per unit,Own assumption
avf,coal,st,0.9,per unit,Own assumption
avf,gas,ccgt,0.9,per unit,Own assumption
avf,gas,gt,0.9,per unit,Own assumption
avf,hydro,rsv,0.9,per unit,Own assumption
avf,lignite,st,0.9,per unit,Own assumption
avf,oil,ocgt,0.9,per unit,Own assumption
avf,uranium,st,0.9,per unit,Own assumption
avf,lithium,battery,0.9,per unit,Own assumption
vom,biomass,ce,3,Euro/Mwh,Own assumption
vom,coal,st,3.3,Euro/Mwh,TYNDP2016A
vom,gas,ccgt,1.6,Euro/Mwh,TYNDP2016A
vom,hydro,rsv,0,Euro/Mwh,DIW
vom,lignite,st,3.3,Euro/Mwh,TYNDP2016A
vom,oil,ocgt,3.3,Euro/Mwh,TYNDP2016A
vom,uranium,st,9,Euro/Mwh,TYNDP2016A
vom,lithium,battery,0,Euro/Mwh,Own assumption
storage_capacity,lithium,battery,5,h,Own assumption
